flight_number,airport,type,status,aircraft
6E 871,BLR,Departure,Expected,VT-IMC
6E 6288,BLR,Departure,Expected,VT-IBJ
6E 438,BLR,Departure,Expected,VT-IWM
6E 904,BLR,Departure,Expected,VT-ILT
IX 2712,BLR,Departure,Expected,VT-BXH
6E 7176,BLR,Departure,Expected,VT-IRK
6E 6583,BLR,Departure,Expected,VT-IUS
6E 6336,BLR,Departure,Expected,VT-IMJ
6E 1167,BLR,Departure,Expected,VT-IPZ
6E 7714,BLR,Departure,Expected,VT-IYI
SG 301,BLR,Departure,Expected,OK-TVM
WY 282,BLR,Departure,Expected,A4O-MC
S5 701,BLR,Departure,Expected,VT-GSU
6E 6545,BLR,Departure,Expected,VT-IBU
AI 2804,BLR,Departure,Expected,VT-TNR
6E 6162,BLR,Departure,Expected,VT-ILX
6E 537,BLR,Departure,Expected,VT-IIM
IX 2975,BLR,Departure,Expected,VT-BWI
6E 7735,BLR,Departure,Expected,VT-IYB
6E 7071,BLR,Departure,Expected,VT-IYJ
6E 503,BLR,Departure,Expected,VT-IBX
6E 524,BLR,Departure,Expected,VT-IXG
6E 6351,BLR,Departure,Expected,VT-NCM
6E 6815,BLR,Departure,Expected,VT-ICW
6E 1009,BLR,Departure,Expected,VT-IAN
QP 2902,BLR,Departure,Expected,VT-YAW
EK 565,BLR,Departure,Expected,
AI 2852,BLR,Departure,Expected,VT-TQH
QP 623,BLR,Departure,Delayed,VT-YAT
IX 874,BLR,Departure,Expected,VT-BXO
IX 2942,BLR,Departure,Expected,VT-BWI
6E 941,BLR,Departure,Expected,VT-IBE
6E 6863,BLR,Departure,Expected,VT-IBC
IX 1756,BLR,Departure,Expected,VT-BXF
6E 175,BLR,Departure,Expected,VT-NCP
IX 882,BLR,Departure,Expected,VT-ATD
6E 7711,BLR,Departure,Expected,VT-IRM
AI 2406,BLR,Departure,Expected,VT-TNI
UL 1174,BLR,Departure,Delayed,4R-ABL
6E 6459,BLR,Departure,Expected,VT-IPX
6E 125,BLR,Departure,Expected,VT-ITN
6E 7207,BLR,Departure,Expected,VT-NCZ
6E 6533,BLR,Departure,Expected,VT-ISC
AI 508,BLR,Departure,Unknown,
QP 1821,BLR,Departure,Expected,VT-YBA
6E 934,BLR,Departure,Expected,TC-FHL
6E 6535,BLR,Departure,Expected,VT-IMS
QP 1880,BLR,Departure,Expected,VT-YAO
IC 5302,BLR,Departure,Expected,
6E 6356,BLR,Departure,Expected,VT-IBL
IX 2648,BLR,Departure,Expected,VT-RTF
6E 869,BLR,Departure,Expected,VT-NCJ
SQ 509,BLR,Departure,Expected,
6E 312,BLR,Departure,Expected,VT-IMV
IX 2506,BLR,Departure,Expected,VT-BWS
AI 2630,BLR,Departure,Expected,VT-TQB
AI 2630,BLR,Departure,Expected,VT-TQB
IX 2945,BLR,Departure,Expected,VT-BXX
IX 2945,BLR,Departure,Expected,VT-BXX
IX 1958,BLR,Departure,Expected,VT-BWF
6E 6104,BLR,Departure,Expected,VT-ILR
6E 5293,BLR,Departure,Expected,VT-IWT
6E 1037,BLR,Departure,Expected,VT-IXI
6E 897,BLR,Departure,Expected,VT-IAZ
6E 6453,BLR,Departure,Expected,VT-IKT
6E 6491,BLR,Departure,Expected,VT-IMQ
6E 196,BLR,Departure,Expected,VT-IKP
IX 2879,BLR,Departure,Expected,VT-GHE
IX 1971,BLR,Departure,Expected,VT-BXB
IX 2462,BLR,Departure,Expected,VT-ATE
IX 1582,BLR,Departure,Expected,VT-BWR
6E 465,BLR,Departure,Expected,TC-FHZ
IX 2502,BLR,Departure,Expected,VT-RTO
IX 2936,BLR,Departure,Expected,VT-BXP
6E 6401,BLR,Departure,Expected,VT-NHB
6E 703,BLR,Departure,Expected,VT-ICO
6E 6837,BLR,Departure,Expected,VT-ILT
IX 2892,BLR,Departure,Expected,VT-BXD
6E 6653,BLR,Departure,Expected,VT-ILX
AI 2486,BLR,Departure,Expected,VT-EXI
IX 2983,BLR,Departure,Expected,VT-AXP
6E 452,BLR,Departure,Expected,VT-ILP
6E 1127,BLR,Departure,Expected,VT-ILS
6E 6507,BLR,Departure,Expected,VT-IUS
6E 7731,BLR,Departure,Expected,VT-IYY
6E 6595,BLR,Departure,Expected,TC-FHK
IX 1249,BLR,Departure,Expected,VT-BXL
6E 172,BLR,Departure,Expected,TC-FHC
IX 2608,BLR,Departure,Expected,
6E 5218,BLR,Departure,Expected,VT-NCV
IX 2014,BLR,Departure,Expected,VT-JPR
AI 133,BLR,Departure,Expected,VT-NAC
6E 6039,BLR,Departure,Expected,VT-NCW
6E 852,BLR,Departure,Expected,VT-ISP
6E 788,BLR,Departure,Expected,VT-IJQ
6E 7445,BLR,Departure,Expected,VT-IRK
AI 428,BLR,Departure,Expected,VT-ANU
IX 2606,BLR,Departure,Delayed,VT-RTQ
IX 2025,BLR,Departure,Delayed,VT-GHB
6E 469,BLR,Departure,Expected,TC-FHN
6E 506,BLR,Departure,Expected,VT-ITL
QP 1364,BLR,Departure,Expected,VT-YBO
6E 6541,BLR,Departure,Expected,
IX 2052,BLR,Departure,Expected,VT-BWI
6E 1302,BLR,Arrival,Canceled,
AI 2757,BLR,Arrival,Arrived,VT-ATV
EK 568,BLR,Arrival,Arrived,A6-EVR
VS 316,BLR,Arrival,Arrived,G-VDIA
6E 1486,BLR,Arrival,Canceled,
IX 1959,BLR,Arrival,Arrived,VT-BWR
IX 6608,BLR,Arrival,Arrived,VT-RTF
SG 874,BLR,Arrival,Arrived,OK-TVV
AI 2812,BLR,Arrival,Arrived,VT-TNU
GF 282,BLR,Arrival,Canceled,
BA 119,BLR,Arrival,Arrived,G-YMMU
QP 1536,BLR,Arrival,Arrived,VT-YAH
IX 6372,BLR,Arrival,Arrived,VT-ATE
IX 866,BLR,Arrival,Canceled,
6E 702,BLR,Arrival,Arrived,VT-ICO
AKJ 707Z,BLR,Arrival,Arrived,
BZ 201,BLR,Arrival,Arrived,VT-BDB
QP 1905,BLR,Arrival,Arrived,VT-YAB
IX 2923,BLR,Arrival,Arrived,VT-BWF
IX 896,BLR,Arrival,Canceled,
6E 6564,BLR,Arrival,Arrived,VT-IKS
6E 6438,BLR,Arrival,Arrived,VT-IBX
AI 2653,BLR,Arrival,Arrived,VT-TNQ
IX 2980,BLR,Arrival,Arrived,VT-AXP
IX 2115,BLR,Arrival,Arrived,VT-BXH
IX 2934,BLR,Arrival,Arrived,VT-BXP
FX 6092,BLR,Arrival,Approaching,N898FD
AI 2845,BLR,Arrival,Arrived,VT-EXH
6E 5352,BLR,Arrival,Arrived,VT-NCV
IX 2918,BLR,Arrival,Arrived,VT-RTP
6E 1006,BLR,Arrival,Arrived,VT-IAN
6E 256,BLR,Arrival,Arrived,VT-IMS
IX 2780,BLR,Arrival,Arrived,VT-BXR
6E 6081,BLR,Arrival,Arrived,VT-IAZ
6E 6833,BLR,Arrival,Arrived,VT-IMC
AI 2603,BLR,Arrival,Arrived,VT-TNE
SG 672,BLR,Arrival,Arrived,9H-CXA
6E 415,BLR,Arrival,Arrived,VT-IIE
6E 413,BLR,Arrival,Arrived,VT-IBI
SG 300,BLR,Arrival,Arrived,OK-TVM
6E 728,BLR,Arrival,Expected,VT-IBJ
AI 2409,BLR,Arrival,Expected,VT-TNR
6E 1076,BLR,Arrival,Expected,VT-IAQ
6E 7245,BLR,Arrival,Expected,VT-IRK
IX 2975,BLR,Arrival,Expected,VT-BWI
WY 281,BLR,Arrival,Expected,A4O-MC
6E 391,BLR,Arrival,Expected,VT-IUS
S5 160,BLR,Arrival,Expected,VT-GSU
6E 771,BLR,Arrival,Expected,VT-ILX
6E 306,BLR,Arrival,Expected,VT-IBE
6E 701,BLR,Arrival,Expected,VT-IIM
6E 5296,BLR,Arrival,Expected,VT-NCM
IX 2876,BLR,Arrival,Expected,VT-BXO
AI 2803,BLR,Arrival,Expected,VT-TQQ
IX 1890,BLR,Arrival,Expected,VT-ATD
QP 1312,BLR,Arrival,Expected,VT-YBA
6E 6815,BLR,Arrival,Expected,VT-ICW
IX 2504,BLR,Arrival,Canceled,
6E 249,BLR,Arrival,Canceled,
6E 151,BLR,Arrival,Expected,VT-IOJ
6E 6075,BLR,Arrival,Expected,VT-ILS
AI 2815,BLR,Arrival,Expected,VT-TNI
6E 7286,BLR,Arrival,Expected,VT-IYJ
6E 1409,BLR,Arrival,Canceled,
IX 2019,BLR,Arrival,Expected,VT-BWR
QP 1362,BLR,Arrival,Expected,VT-YAO
AI 2851,BLR,Arrival,Expected,VT-TQD
6E 6403,BLR,Arrival,Expected,VT-NCP
6E 909,BLR,Arrival,Expected,VT-IBC
6E 6482,BLR,Arrival,Expected,VT-ITN
6E 496,BLR,Arrival,Expected,VT-IMV
EK 564,BLR,Arrival,Delayed,A6-EGA
6E 6066,BLR,Arrival,Expected,VT-IMI
6E 6503,BLR,Arrival,Expected,TC-FHL
IX 2506,BLR,Arrival,Expected,VT-BWS
6E 5193,BLR,Arrival,Expected,VT-NHA
UL 1173,BLR,Arrival,Delayed,4R-ABL
SQ 508,BLR,Arrival,Expected,9V-SHC
6E 517,BLR,Arrival,Expected,VT-NCZ
IX 1581,BLR,Arrival,Expected,VT-BXX
6E 7233,BLR,Arrival,Expected,VT-IRM
6E 78,BLR,Arrival,Expected,VT-IXI
6E 2786,BLR,Arrival,Expected,VT-NCJ
IC 5301,BLR,Arrival,Expected,
6E 6634,BLR,Arrival,Expected,VT-IBL
AI 427,BLR,Arrival,Expected,VT-NAC
QP 575,BLR,Arrival,Unknown,
IX 1958,BLR,Arrival,Expected,VT-BWF
6E 6799,BLR,Arrival,Expected,VT-ILR
6E 393,BLR,Arrival,Expected,VT-IMQ
6E 325,BLR,Arrival,Expected,VT-IKP
AI 2863,BLR,Arrival,Expected,VT-TNF
IX 2889,BLR,Arrival,Expected,VT-GHE
6E 897,BLR,Arrival,Expected,VT-IAZ
IX 2817,BLR,Arrival,Expected,VT-BWR
6E 5076,BLR,Arrival,Expected,VT-IWT
6E 823,BLR,Arrival,Expected,TC-FHZ
IX 2465,BLR,Arrival,Expected,VT-RTO
IX 2098,BLR,Arrival,Expected,VT-ATE
S5 702,BLR,Arrival,Expected,VT-GSU
6E 406,BLR,Arrival,Expected,VT-IKT
6E 406,BLR,Arrival,Expected,VT-IKT
IX 2983,BLR,Arrival,Expected,VT-AXP
IX 2937,BLR,Arrival,Expected,VT-BXP
IX 1216,BLR,Arrival,Expected,VT-BXD
6E 6608,BLR,Arrival,Expected,VT-NHB
AI 2415,BLR,Arrival,Expected,VT-EXI
6E 703,BLR,Arrival,Expected,VT-ICO
6E 6892,BLR,Arrival,Expected,VT-ILT
QP 2002,BLR,Arrival,Expected,VT-YBO
IX 1248,BLR,Arrival,Expected,VT-BXL
6E 6161,BLR,Arrival,Expected,VT-ILX
6E 386,BLR,Arrival,Expected,TC-FHK
6E 6033,BLR,Arrival,Expected,VT-IAQ
6E 6156,BLR,Arrival,Expected,VT-ILP
6E 6584,BLR,Arrival,Expected,VT-IUS
6E 7738,BLR,Arrival,Expected,VT-IYY
6E 6542,BLR,Arrival,Expected,TC-FHC
IX 6357,BLR,Arrival,Delayed,VT-GHE
6E 5217,BLR,Arrival,Expected,VT-NCV
6E 1044,BLR,Arrival,Expected,VT-ILF
AI 2485,BLR,Arrival,Expected,VT-CIO
IX 2014,BLR,Arrival,Expected,VT-JPR
6E 661,BLR,Arrival,Expected,VT-ISP
AI 132,BLR,Arrival,Delayed,VT-ANU
6E 173,BLR,Arrival,Expected,VT-NCW
IX 2971,BLR,Arrival,Expected,VT-BWI
IX 1584,BLR,Arrival,Expected,VT-RTQ
6E 787,BLR,Arrival,Expected,VT-IJQ
QP 1568,BLR,Arrival,Expected,VT-YAK
AI 2632,BLR,Arrival,Expected,VT-TNE
IX 2167,BLR,Arrival,Expected,VT-GHB
IX 2049,BLR,Arrival,Expected,VT-AXW
SG 196,BLR,Arrival,Expected,OK-TVS
6E 7736,BLR,Arrival,Expected,VT-IRK
6E 412,BLR,Arrival,Expected,TC-FHN
EY 236,BLR,Arrival,Canceled,
6E 5309,BLR,Arrival,Expected,VT-IMJ
6E 805,BLR,Arrival,Expected,VT-IKS
IX 2142,BLR,Arrival,Expected,VT-EXB
6E 7072,BLR,Arrival,Expected,VT-IYJ
6E 235,BLR,Arrival,Expected,VT-ICI
QP 1373,BLR,Arrival,Expected,VT-YAV
IX 1602,BLR,Arrival,Expected,VT-AXM
6E 605,BLR,Arrival,Expected,VT-NHK
6E 6112,BLR,Arrival,Expected,VT-NCM
6E 180,BLR,Arrival,Expected,VT-ILD
SG 302,BLR,Arrival,Expected,OK-TVM
6E 7163,BLR,Arrival,Expected,VT-NCZ
6E 842,BLR,Arrival,Expected,VT-NHI
IX 2645,HYD,Departure,Unknown,VT-BWW
6E 1313,HYD,Departure,Canceled,
LH 753,HYD,Departure,Expected,D-ABPF
QR 501,HYD,Departure,Canceled,
OV 736,HYD,Departure,Unknown,A4O-OVI
6E 6010,HYD,Departure,Departed,VT-NCN
6E 6010,HYD,Departure,Departed,VT-NCN
G9 468,HYD,Departure,Unknown,A6-ANA
G9 468,HYD,Departure,Unknown,A6-ANA
EY 353,HYD,Departure,Departed,
EK 525,HYD,Departure,Expected,A6-ENI
KU 374,HYD,Departure,Unknown,
6E 1448,HYD,Departure,Unknown,
6E 351,HYD,Departure,Unknown,
IX 939,HYD,Departure,Unknown,
6E 531,HYD,Departure,Unknown,
AI 1806,HYD,Departure,Departed,VT-RTX
6E 5245,HYD,Departure,Unknown,
6E 972,HYD,Departure,Unknown,
6E 618,HYD,Departure,Unknown,
6E 7549,HYD,Departure,Unknown,VT-IYG
6E 7554,HYD,Departure,Unknown,VT-IYO
6E 7452,HYD,Departure,Unknown,
QP 1405,HYD,Departure,Expected,
AI 2872,HYD,Departure,Departed,VT-TNX
6E 608,HYD,Departure,Unknown,
6E 424,HYD,Departure,Expected,VT-NCQ
6E 928,HYD,Departure,Unknown,
IX 938,HYD,Departure,Expected,VT-BWU
6E 7201,HYD,Departure,Unknown,
6E 7532,HYD,Departure,Unknown,VT-IYE
IX 2934,HYD,Departure,Departed,VT-BXP
6E 317,HYD,Departure,Unknown,VT-ICB
AI 2559,HYD,Departure,Expected,VT-TNP
6E 924,HYD,Departure,Unknown,VT-NCX
6E 6305,HYD,Departure,Unknown,VT-IKU
6E 289,HYD,Departure,Unknown,
6E 7252,HYD,Departure,Unknown,
6E 7118,HYD,Departure,Unknown,
6E 6467,HYD,Departure,Unknown,VT-IXN
6E 7343,HYD,Departure,Unknown,
6E 495,HYD,Departure,Unknown,VT-IBN
IX 2885,HYD,Departure,Unknown,VT-BWW
9I 877,HYD,Departure,Unknown,
6E 6242,HYD,Departure,Unknown,VT-IWN
6E 421,HYD,Departure,Unknown,
6E 287,HYD,Departure,Unknown,VT-IML
6E 413,HYD,Departure,Expected,VT-IBI
AI 2860,HYD,Departure,Expected,VT-TQC
6E 377,HYD,Departure,Unknown,VT-IMU
BA 276,HYD,Departure,Expected,G-ZBJA
AI 2626,HYD,Departure,Unknown,VT-TNF
6E 243,HYD,Departure,Unknown,
S5 395,HYD,Departure,Unknown,
6E 6621,HYD,Departure,Expected,
6E 1465,HYD,Departure,Unknown,
6E 846,HYD,Departure,Unknown,
6E 846,HYD,Departure,Unknown,
AI 2466,HYD,Departure,Expected,
6E 134,HYD,Departure,Unknown,
6E 664,HYD,Departure,Unknown,
6E 5213,HYD,Departure,Unknown,
6E 346,HYD,Departure,Unknown,
IX 2019,HYD,Departure,Expected,VT-BXF
6E 6382,HYD,Departure,Unknown,
6E 151,HYD,Departure,Expected,VT-IOJ
6E 422,HYD,Departure,Unknown,
6E 6974,HYD,Departure,Unknown,
6E 938,HYD,Departure,Unknown,
XY 326,HYD,Departure,Unknown,
AI 1866,HYD,Departure,Expected,
6E 2051,HYD,Departure,Expected,
6E 913,HYD,Departure,Unknown,
SG 660,HYD,Departure,Expected,
6E 7208,HYD,Departure,Unknown,
6E 192,HYD,Departure,Unknown,
6E 6066,HYD,Departure,Expected,VT-IMI
S5 196,HYD,Departure,Unknown,
6E 482,HYD,Departure,Unknown,
6E 5278,HYD,Departure,Unknown,
6E 108,HYD,Departure,Unknown,
6E 6707,HYD,Departure,Unknown,
6E 307,HYD,Departure,Unknown,
6E 931,HYD,Departure,Unknown,
AI 2874,HYD,Departure,Unknown,
6E 6151,HYD,Departure,Unknown,
6E 6263,HYD,Departure,Unknown,
EK 527,HYD,Departure,Expected,
6E 149,HYD,Departure,Unknown,
AI 2543,HYD,Departure,Expected,
6E 7563,HYD,Departure,Unknown,
6E 7503,HYD,Departure,Unknown,
6E 7228,HYD,Departure,Unknown,
6E 879,HYD,Departure,Unknown,
6E 240,HYD,Departure,Expected,
6E 7121,HYD,Departure,Unknown,
IX 2745,HYD,Departure,Unknown,
6E 6338,HYD,Departure,Unknown,
6E 7919,HYD,Departure,Unknown,
6E 6291,HYD,Departure,Unknown,
IX 2937,HYD,Departure,Expected,VT-BXP
SQ 519,HYD,Departure,Expected,
6E 7211,HYD,Departure,Unknown,
6E 1067,HYD,Departure,Unknown,
6E 7126,HYD,Departure,Unknown,
6E 362,HYD,Departure,Unknown,
6E 2178,HYD,Departure,Unknown,
6E 886,HYD,Departure,Unknown,
6E 2005,HYD,Departure,Unknown,
6E 6156,HYD,Departure,Expected,VT-ILP
AI 418,HYD,Departure,Unknown,
6E 7096,HYD,Departure,Unknown,
6E 7417,HYD,Departure,Unknown,
6E 1181,HYD,Departure,Unknown,
6E 1117,HYD,Departure,Unknown,
6E 6408,HYD,Departure,Unknown,
6E 7144,HYD,Departure,Unknown,
6E 5233,HYD,Departure,Expected,
6E 453,HYD,Departure,Unknown,
6E 453,HYD,Departure,Unknown,
6E 376,HYD,Departure,Unknown,
6E 376,HYD,Departure,Unknown,
6E 537,HYD,Departure,Unknown,
6E 6226,HYD,Departure,Unknown,
6E 905,HYD,Departure,Unknown,
6E 6911,HYD,Departure,Unknown,
6E 834,HYD,Departure,Unknown,
IX 2819,HYD,Departure,Unknown,
6E 6781,HYD,Departure,Unknown,
6E 6478,HYD,Departure,Unknown,
6E 6253,HYD,Departure,Unknown,
6E 180,HYD,Departure,Expected,VT-ILD
6E 6593,HYD,Departure,Unknown,
AI 2859,HYD,Departure,Unknown,
6E 7564,HYD,Departure,Unknown,
6E 514,HYD,Departure,Unknown,
6E 208,HYD,Departure,Unknown,
6E 6043,HYD,Departure,Expected,
SG 261,HYD,Departure,Unknown,
6E 7311,HYD,Departure,Unknown,
6E 311,HYD,Departure,Unknown,
AI 2541,HYD,Departure,Expected,
6E 7104,HYD,Departure,Unknown,
6E 6925,HYD,Departure,Unknown,
6E 6682,HYD,Departure,Unknown,
6E 6907,HYD,Departure,Unknown,
AI 2445,HYD,Departure,Expected,
6E 5099,HYD,Departure,Expected,
6E 6646,HYD,Departure,Expected,
6E 6062,HYD,Departure,Expected,
IX 2872,HYD,Departure,Expected,
OV 735,HYD,Arrival,Unknown,A4O-OVI
G9 467,HYD,Arrival,Unknown,A6-ANA
KU 373,HYD,Arrival,Unknown,
6E 1466,HYD,Arrival,Unknown,
6E 564,HYD,Arrival,Unknown,
AI 2204,HYD,Arrival,Unknown,
6E 1408,HYD,Arrival,Unknown,
AI 2577,HYD,Arrival,Expected,VT-TNP
BA 277,HYD,Arrival,Expected,G-ZBJA
IX 2837,HYD,Arrival,Unknown,VT-BWW
6E 495,HYD,Arrival,Unknown,
6E 2255,HYD,Arrival,Expected,
6E 1496,HYD,Arrival,Unknown,VT-IPF
6E 1274,HYD,Arrival,Unknown,
AI 2625,HYD,Arrival,Expected,VT-TQF
6E 6897,HYD,Arrival,Unknown,
6E 352,HYD,Arrival,Unknown,
IX 2018,HYD,Arrival,Expected,VT-BWR
6E 939,HYD,Arrival,Unknown,VT-ITR
6E 94,HYD,Arrival,Unknown,
XY 325,HYD,Arrival,Unknown,HZ-NS45
6E 94,HYD,Arrival,Unknown,
XY 325,HYD,Arrival,Unknown,HZ-NS45
6E 94,HYD,Arrival,Unknown,
6E 86,HYD,Arrival,Unknown,
6E 86,HYD,Arrival,Unknown,
6E 752,HYD,Arrival,Unknown,VT-IBM
6E 1234,HYD,Arrival,Unknown,
SG 660,HYD,Arrival,Unknown,
AI 1793,HYD,Arrival,Expected,VT-RTJ
6E 5012,HYD,Arrival,Expected,
EK 526,HYD,Arrival,Expected,A6-EGL
6E 7209,HYD,Arrival,Unknown,
6E 484,HYD,Arrival,Expected,VT-IMI
6E 553,HYD,Arrival,Unknown,VT-IMW
AI 2873,HYD,Arrival,Unknown,VT-TNZ
6E 867,HYD,Arrival,Unknown,
6E 307,HYD,Arrival,Unknown,
6E 68,HYD,Arrival,Expected,VT-IQM
6E 5368,HYD,Arrival,Unknown,
6E 6796,HYD,Arrival,Expected,
6E 523,HYD,Arrival,Unknown,
AI 2560,HYD,Arrival,Expected,
6E 295,HYD,Arrival,Unknown,
6E 879,HYD,Arrival,Unknown,
6E 7563,HYD,Arrival,Unknown,
6E 7548,HYD,Arrival,Unknown,
6E 5246,HYD,Arrival,Unknown,
6E 7119,HYD,Arrival,Unknown,
6E 58,HYD,Arrival,Canceled,
6E 7164,HYD,Arrival,Unknown,
6E 7259,HYD,Arrival,Unknown,
6E 318,HYD,Arrival,Unknown,
6E 1422,HYD,Arrival,Unknown,VT-IXN
IX 2745,HYD,Arrival,Unknown,
SQ 518,HYD,Arrival,Expected,9V-MBN
IX 2935,HYD,Arrival,Expected,VT-BXP
6E 7555,HYD,Arrival,Unknown,
6E 6124,HYD,Arrival,Unknown,
6E 6092,HYD,Arrival,Unknown,
AI 417,HYD,Arrival,Unknown,
6E 886,HYD,Arrival,Expected,VT-IBI
6E 7344,HYD,Arrival,Unknown,
6E 718,HYD,Arrival,Unknown,
6E 6513,HYD,Arrival,Unknown,
6E 876,HYD,Arrival,Unknown,
6E 7308,HYD,Arrival,Unknown,
6E 425,HYD,Arrival,Expected,
6E 398,HYD,Arrival,Unknown,
6E 378,HYD,Arrival,Unknown,
6E 537,HYD,Arrival,Expected,VT-IIM
6E 6881,HYD,Arrival,Unknown,
6E 7297,HYD,Arrival,Unknown,
6E 814,HYD,Arrival,Unknown,
6E 6973,HYD,Arrival,Unknown,
AI 2542,HYD,Arrival,Expected,
AI 2542,HYD,Arrival,Expected,
6E 834,HYD,Arrival,Unknown,
6E 834,HYD,Arrival,Unknown,
IX 1756,HYD,Arrival,Expected,VT-BXF
6E 5318,HYD,Arrival,Unknown,
6E 473,HYD,Arrival,Unknown,
6E 6593,HYD,Arrival,Unknown,
6E 6306,HYD,Arrival,Unknown,
6E 197,HYD,Arrival,Unknown,
AI 2444,HYD,Arrival,Unknown,
6E 607,HYD,Arrival,Unknown,
AI 2859,HYD,Arrival,Expected,
SG 260,HYD,Arrival,Unknown,
6E 514,HYD,Arrival,Unknown,
6E 6019,HYD,Arrival,Expected,
6E 6042,HYD,Arrival,Unknown,
6E 7564,HYD,Arrival,Unknown,
6E 407,HYD,Arrival,Unknown,
6E 7229,HYD,Arrival,Unknown,
6E 334,HYD,Arrival,Unknown,
6E 6925,HYD,Arrival,Unknown,
6E 7137,HYD,Arrival,Unknown,
6E 304,HYD,Arrival,Unknown,
6E 6397,HYD,Arrival,Unknown,
6E 6645,HYD,Arrival,Unknown,
6E 347,HYD,Arrival,Unknown,
6E 6491,HYD,Arrival,Expected,VT-IMQ
6E 626,HYD,Arrival,Unknown,
IX 2746,HYD,Arrival,Unknown,
9I 878,HYD,Arrival,Unknown,
IX 2936,HYD,Arrival,Expected,VT-BXP
6E 2052,HYD,Arrival,Expected,
6E 7416,HYD,Arrival,Expected,
6E 263,HYD,Arrival,Expected,
6E 932,HYD,Arrival,Expected,
6E 7923,HYD,Arrival,Expected,
6E 5065,CCU,Departure,Departed,VT-NHE
QR 541,CCU,Departure,Canceled,
6E 6438,CCU,Departure,Departed,VT-IBX
QP 1173,CCU,Departure,Unknown,
IX 2782,CCU,Departure,Unknown,
6E 6139,CCU,Departure,Unknown,VT-IMG
6E 2787,CCU,Departure,Departed,
6E 271,CCU,Departure,Unknown,
6E 7561,CCU,Departure,Unknown,
SG 130,CCU,Departure,Expected,VT-SLC
6E 139,CCU,Departure,Unknown,
6E 6249,CCU,Departure,Unknown,VT-ITO
6E 5113,CCU,Departure,Unknown,
6E 245,CCU,Departure,Unknown,VT-ISJ
IX 1254,CCU,Departure,Unknown,VT-BWA
6E 771,CCU,Departure,Expected,VT-ILX
6E 1087,CCU,Departure,Expected,
6E 7418,CCU,Departure,Unknown,
AI 2720,CCU,Departure,Expected,VT-TNS
6E 2119,CCU,Departure,Expected,VT-NHG
AI 2644,CCU,Departure,Unknown,
6E 7623,CCU,Departure,Unknown,VT-IYK
6E 893,CCU,Departure,Unknown,VT-IQE
9I 763,CCU,Departure,Unknown,
IX 1517,CCU,Departure,Unknown,
6E 6514,CCU,Departure,Unknown,VT-IIV
6E 6785,CCU,Departure,Unknown,
6E 713,CCU,Departure,Unknown,
6E 6179,CCU,Departure,Unknown,
6E 496,CCU,Departure,Expected,VT-IMV
6E 496,CCU,Departure,Expected,VT-IMV
6E 379,CCU,Departure,Expected,
B3 701,CCU,Departure,Unknown,A5-RIM
W2 521,CCU,Departure,Unknown,
6E 6513,CCU,Departure,Unknown,
QP 1926,CCU,Departure,Unknown,
AI 2778,CCU,Departure,Expected,
6E 563,CCU,Departure,Unknown,
QP 1802,CCU,Departure,Expected,
6E 212,CCU,Departure,Unknown,
IX 1521,CCU,Departure,Unknown,
6E 345,CCU,Departure,Unknown,
6E 7304,CCU,Departure,Unknown,
EK 571,CCU,Departure,Expected,
6E 201,CCU,Departure,Unknown,
6E 966,CCU,Departure,Unknown,
QP 1562,CCU,Departure,Unknown,
6E 5087,CCU,Departure,Unknown,
U4 164,CCU,Departure,Unknown,
6E 7351,CCU,Departure,Unknown,
6E 386,CCU,Departure,Expected,TC-FHK
6E 5077,CCU,Departure,Expected,
AI 2536,CCU,Departure,Expected,
6E 948,CCU,Departure,Unknown,
6E 822,CCU,Departure,Unknown,
SG 640,CCU,Departure,Unknown,
6E 6348,CCU,Departure,Unknown,
AI 2706,CCU,Departure,Expected,
6E 207,CCU,Departure,Unknown,
AI 2772,CCU,Departure,Unknown,
QP 1568,CCU,Departure,Expected,VT-YAK
SG 260,CCU,Departure,Unknown,
6E 5253,CCU,Departure,Unknown,
IX 1584,CCU,Departure,Expected,VT-RTQ
SG 488,CCU,Departure,Unknown,
6E 334,CCU,Departure,Unknown,
6E 135,CCU,Departure,Unknown,
6E 5058,CCU,Departure,Unknown,
6E 833,CCU,Departure,Unknown,
6E 715,CCU,Departure,Unknown,
6E 6214,CCU,Departure,Unknown,
6E 235,CCU,Departure,Expected,VT-ICI
SG 196,CCU,Departure,Expected,OK-TVS
6E 326,CCU,Departure,Unknown,
B3 700,CCU,Departure,Unknown,
6E 6710,CCU,Departure,Expected,
6E 6710,CCU,Departure,Expected,
6E 634,CCU,Departure,Unknown,
6E 6072,CCU,Departure,Unknown,
6E 6173,CCU,Departure,Unknown,
IX 1256,CCU,Departure,Unknown,
6E 1631,CCU,Departure,Unknown,
6E 2165,CCU,Departure,Unknown,
6E 751,CCU,Departure,Unknown,
6E 572,CCU,Departure,Unknown,
SG 458,CCU,Departure,Unknown,OK-TVS
6E 455,CCU,Departure,Expected,VT-IBX
6E 789,CCU,Departure,Unknown,
AI 1874,CCU,Departure,Expected,
6E 7174,CCU,Departure,Unknown,
6E 7313,CCU,Departure,Unknown,
6E 6103,CCU,Departure,Unknown,
6E 2513,CCU,Departure,Unknown,
6E 6749,CCU,Departure,Unknown,
6E 6339,CCU,Departure,Unknown,
6E 275,CCU,Departure,Unknown,
6E 6616,CCU,Departure,Unknown,
